Vendor_ID,Vendor_Code,Price_Date,Exchange_Code,Price_Type,Outlier_Less_Than_3_Pct,Outlier_3_To_5_Pct,Outlier_Greater_Than_5_Pct,Total_Outliers,Vendor_Performance
V4,BLOOM,1/7/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/7/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/8/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/8/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/8/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/8/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/8/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/9/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/9/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/9/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/9/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/9/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/10/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/10/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/10/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/10/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/10/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/11/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/11/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/11/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/11/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/11/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/12/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/12/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/12/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/12/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/12/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/13/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/13/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/13/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/13/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/13/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/14/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/14/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/14/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/14/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/14/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/15/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/15/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/15/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/15/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/15/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/16/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/16/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/16/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/16/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/16/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/17/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/17/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/17/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/17/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/17/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/18/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/18/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/18/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/18/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/18/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/19/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/19/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/19/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/19/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/19/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/20/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/20/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/20/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/20/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/20/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/21/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/21/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/21/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/21/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/21/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/22/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/22/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/22/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/22/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/22/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/23/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/23/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/23/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/23/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/23/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/24/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/24/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/24/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/24/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/24/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/25/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/25/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/25/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/25/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/25/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/26/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/26/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/26/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/26/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/26/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/27/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/27/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/27/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/27/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/27/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/28/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/28/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/28/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/28/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/28/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/29/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/29/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/29/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/29/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/29/2025,NASDAQ,CLOSE,2,0,0,2,Good
V1,YAHOO,1/30/2025,NASDAQ,CLOSE,2,0,0,2,Good
V2,ALPHA,1/30/2025,NASDAQ,CLOSE,2,0,0,2,Good
V3,FINDHUB,1/30/2025,NASDAQ,CLOSE,2,0,0,2,Good
V4,BLOOM,1/30/2025,NASDAQ,CLOSE,2,0,0,2,Good
V5,REFINIT,1/30/2025,NASDAQ,CLOSE,2,0,0,2,Good
